문래역,영등포구,126.894748328,37.517917841
신정네거리역,양천구,126.852974065,37.519796636
양천구청역,양천구,126.866048621,37.512693315
도림천역,구로구,126.882637200,37.514450500
신도림역,구로구,126.890928772,37.508786138
신도림역,구로구,126.890928772,37.508786138
대림역,구로구,126.894957502,37.493288885
구로디지털단지역,구로구,126.901396366,37.485226802
신대방역,관악구,126.913281200,37.487498500
신림역,관악구,126.929783386,37.484216360
봉천역,관악구,126.941476993,37.482554294
서울대입구역,관악구,126.952626757,37.481152183
낙성대역,관악구,126.963556000,37.477074400
사당(2)역,관악구,126.981389612,37.476518911
사당(2)역,관악구,126.981389612,37.476518911
방배역,서초구,126.997679176,37.481433509
서초역,서초구,127.007569859,37.491821285
교대역(2호선),서초구,127.014075269,37.493608967
강남역,강남구,127.028289599,37.498161219
역삼역,강남구,127.036602960,37.500712851
선릉역,강남구,127.048929472,37.504498824
삼성역,강남구,127.063060545,37.508857101
종합운동장역,송파구,127.073342144,37.510964873
종합운동장역,송파구,127.073342144,37.510964873
신천역,송파구,127.086095100,37.511616100
잠실역,송파구,127.100583459,37.513570676
잠실나루역,송파구,127.104072187,37.520059255
강변역,광진구,127.094671996,37.535043488
구의역,광진구,127.086162513,37.537148888
건대입구역,광진구,127.069156872,37.540413581
용두역,동대문구,127.037801152,37.574359374
용두역,동대문구,127.037801152,37.574359374
용두역,동대문구,127.037801152,37.574359374
용두역,동대문구,127.037801152,37.574359374
신설(2)역,동대문구,127.024549411,37.576117657
신답역,성동구,127.046804079,37.569984073
용답역,성동구,127.050711908,37.561999969
성수역,성동구,127.056010800,37.544568600
뚝섬역,성동구,127.047348400,37.547183636
한양대역,성동구,127.043567680,37.555572994
왕십리역,성동구,127.037464911,37.561301371
상왕십리역,성동구,127.028992929,37.564425081
신당역,중구,127.019522940,37.565646888
동대문역사문화공원(2)역,중구,127.009117023,37.565582729
을지로4가(2)역,중구,126.997836916,37.566627520
을지로3가(2),중구,126.990295863,37.566258842
을지로입구역,중구,126.982356001,37.566046065
시청(2)역,중구,126.975373900,37.563570943
시청(2)역,중구,126.975373900,37.563570943
청량리역,동대문구,127.045556847,37.580888185
제기동역,동대문구,127.034672749,37.578194631
동묘앞역,종로구,127.016735528,37.573367158
동묘앞역,종로구,127.016735528,37.573367158
동묘앞역,종로구,127.016735528,37.573367158
동묘앞역,종로구,127.016735528,37.573367158
신설(1)역,동대문구,127.024453700,37.576101100
동대문(1)역,종로구,127.011023198,37.572108167
종로5가역,종로구,127.001903081,37.570894734
종로3가(1)역,종로구,126.992016734,37.570419407
종로3가(1)역,종로구,126.992016734,37.570419407
종각역,종로구,126.983224168,37.570208870
시청(1)역,중구,126.977628793,37.566467161
서울(1)역,중구,126.972534865,37.556873230
복정역,송파구,127.126755202,37.471056737
장지역,송파구,127.126405153,37.478118717
문정역,송파구,127.122274414,37.486261408
가락시장역,송파구,127.118471553,37.492742213
송파역,송파구,127.112167031,37.499684588
석촌역,송파구,127.106332531,37.505946081
잠실역,송파구,127.104203229,37.514973103
몽촌토성역,송파구,127.112415040,37.517620704
강동구청역,송파구,127.120561601,37.530670597
암사역,강동구,127.127523237,37.550137212
온수역,구로구,126.823360800,37.492148776
천왕역,구로구,126.838697546,37.486821009
가산D.C역,금천구,126.882490333,37.482084767
남구로역,구로구,126.887327054,37.486159332
대림역,영등포구,126.896593984,37.492741021
신풍역,영등포구,126.909821405,37.500119293
보라매역,동작구,126.920468637,37.499910012
신대방역,동작구,126.928204078,37.499721318
장승백이역,동작구,126.938725595,37.504662913
상도역,동작구,126.947680061,37.503206261
숭실대역,동작구,126.954042581,37.495809712
남성역,동작구,126.971686579,37.484442124
이수역,동작구,126.981002648,37.485012882
이수역,동작구,126.981002648,37.485012882
내방역,서초구,126.993174318,37.487530538
고속터미널역,서초구,127.003822219,37.504898855
반포역,서초구,127.011480390,37.508123285
논현역,강남구,127.021639132,37.511196791
학동역,강남구,127.031446582,37.514201809
강남구청역,강남구,127.041286249,37.517184582
청담역,강남구,127.052021650,37.519136785
뚝섬유원지역,광진구,127.066700785,37.531580281
건대입구역,광진구,127.071071400,37.540771000
어린이대공원역,광진구,127.074534139,37.547865888
중곡역,광진구,127.084056693,37.565523049
용마산역,중랑구,127.087029465,37.574028057
사가정역,중랑구,127.088422136,37.580789685
면목역,중랑구,127.087549089,37.588380709
상봉역,중랑구,127.085736031,37.595449882
중화역,중랑구,127.079448012,37.601574759
먹골역,중랑구,127.077744414,37.610618747
태릉(7)역,노원구,127.074976111,37.617903523
공릉역,노원구,127.072984983,37.625474069
하계역,노원구,127.067967977,37.636447908
중계역,노원구,127.064228128,37.644888693
노원역,노원구,127.060500691,37.654693454
마들역,노원구,127.057671316,37.665083818
수락산역,노원구,127.055356436,37.677623933
도봉산역,도봉구,127.046510244,37.689120771
도봉산역,도봉구,127.046510244,37.689120771
